"REG","QLAND"
"afg",7910
"alb",696.3
"are",79.4
"arg",40391.3
"arm",505.9
"aus",31611
"aut",1419.3
"aze",2155.6
"bel",838.3
"ben",3400
"bfa",6343
"bgd",8678
"bgr",3614
"bhr",4.6
"blr",5678.6
"bol",4738
"bra",62455
"bwa",282
"caf",1880
"can",37962
"che",427.5028
"chl",1766
"chn",135963.4
"civ",8000
"cmr",7750
"cod",13230
"cog",627
"col",3448
"com",118
"cri",551
"cyp",107.03
"cze",2547
"deu",12076
"dnk",2433
"dom",1155
"dza",8435.2
"ecu",2663
"egy",3730.97
"esp",17133
"est",641
"eth",16699
"fin",2227.5
"fra",19340.8
"gab",495
"gbr",6310.3
"geo",545.7
"gha",5242.4
"gin",3800
"gnq",188.56
"grc",3634
"gtm",2035.7
"hkg",4.1
"hnd",1560
"hrv",949.3
"hun",4498
"idn",46000
"ind",169442
"irl",475.04
"irn",16477
"irq",4863.75
"isr",380.3
"ita",9087
"jam",215
"jor",314.6
"jpn",4538
"kaz",29526.2
"ken",6330
"kgz",1354
"khm",3955
"kor",1711
"kwt",17.6
"lao",1658
"lbn",260
"lka",2300
"ltu",2323
"lux",63.98
"lva",1214
"mar",9585
"mdg",3600
"mex",25023
"mli",6561
"mng",1291.78
"moz",5950
"mus",79
"mwi",3750
"mys",7774.3
"nam",809
"ner",16900
"nga",41500
"nic",1790
"nld",1074.5
"nor",810.7539
"npl",2326
"nzl",618
"omn",68.5
"pak",31280
"pan",734
"per",6167.37
"phl",10969
"pol",11204
"pri",81.2
"prt",1884.51
"pry",4569
"pse",137.62
"qat",20.2
"rou",9188
"rus",123442
"rwa",1432.5
"sau",3295
"sdn",19999.56
"sen",3268
"slv",875.3
"srb",2778
"svk",1382.4
"svn",237.27
"swe",2593.18
"swz",190
"syr",5733
"tcd",5036
"tgo",2820
"tha",21510
"tjk",905.6
"tto",47
"tun",5129
"tur",23806
"tza",14035.9
"uga",9100
"ukr",33671
"ury",2346.7
"usa",158253.4
"uzb",4423
"ven",3300
"vnm",10210.8
"xac",5190
"xca",110
"xcb",4926.9
"xea",2580
"xec",6058.425
"xee",2111
"xef",123.14
"xer",1577.51
"xnf",2059
"xoc",1392
"xsa",112.6
"xsc",252.1
"xse",12470.6
"xsm",533.7
"xsu",2000
"xwf",3864.65
"xws",1499
"zaf",12413
"zmb",3736
"zwe",4100
