"REG","POP"
"afg",38041.754
"alb",2880.917
"are",9770.529
"arg",44780.677
"arm",2957.731
"aus",25203.198
"aut",8955.102
"aze",10047.718
"bel",11539.328
"ben",11801.151
"bfa",20321.378
"bgd",163046.161
"bgr",7000.119
"bhr",1641.172
"blr",9452.411
"bol",11513.1
"bra",211049.527
"bwa",2303.697
"caf",4745.185
"can",37411.047
"che",8591.365
"chl",18952.038
"chn",1457557.562
"civ",25716.544
"cmr",25876.38
"cod",86790.567
"cog",5380.508
"col",50339.443
"com",850.886
"cri",5047.561
"cyp",1198.575
"cze",10689.209
"deu",83517.045
"dnk",5771.876
"dom",10738.958
"dza",43053.054
"ecu",17373.662
"egy",100388.073
"esp",46736.776
"est",1325.648
"eth",112078.73
"fin",5532.156
"fra",66018.655
"gab",2172.579
"gbr",67530.172
"geo",3996.765
"gha",30417.856
"gin",12771.246
"gnq",1355.986
"grc",10473.455
"gtm",17581.472
"hkg",7436.154
"hnd",9746.117
"hrv",4130.304
"hun",9684.679
"idn",270625.568
"ind",1366417.754
"irl",4882.495
"irn",82913.906
"irq",39309.783
"isr",8519.377
"ita",60550.075
"jam",2948.279
"jor",10101.694
"jpn",126860.301
"kaz",18551.427
"ken",52573.973
"kgz",6415.85
"khm",16486.542
"kor",51225.308
"kwt",4207.083
"lao",7169.455
"lbn",6855.713
"lka",21323.733
"ltu",2759.627
"lux",615.729
"lva",1906.743
"mar",36471.769
"mdg",26969.307
"mex",127575.529
"mli",19658.031
"mng",3225.167
"moz",30366.036
"mus",1269.668
"mwi",18628.747
"mys",31949.777
"nam",2494.53
"ner",23310.715
"nga",200963.599
"nic",6545.502
"nld",17097.13
"nor",5378.857
"npl",28608.71
"nzl",4783.063
"omn",4974.986
"pak",216565.318
"pan",4246.439
"per",32510.453
"phl",108116.615
"pol",37887.768
"pri",2933.408
"prt",10226.187
"pry",7044.636
"pse",4981.42
"qat",2832.067
"rou",19364.557
"rus",145872.256
"rwa",12626.95
"sau",34268.528
"sdn",42813.238
"sen",16296.364
"slv",6453.553
"srb",8772.235
"svk",5457.013
"svn",2078.654
"swe",10036.379
"swz",1148.13
"syr",17070.135
"tcd",15946.876
"tgo",8082.366
"tha",69625.582
"tjk",9321.018
"tto",1394.973
"tun",11694.719
"tur",83429.615
"tza",58005.463
"uga",44269.594
"ukr",43993.638
"ury",3461.734
"usa",329064.917
"uzb",32981.716
"ven",28515.829
"vnm",96462.106
"xac",31825.295
"xca",390.353
"xcb",22596.56
"xea",26306.606
"xec",42506.275
"xee",4043.263
"xef",377.05
"xer",6012.446
"xnf",7359.915
"xoc",10635.767
"xsa",763.092
"xsc",2125.268
"xse",55338.539
"xsm",1654.97
"xsu",5942.089
"xwf",21544.913
"xws",29161.922
"zaf",58558.27
"zmb",17861.03
"zwe",14645.468
